"cs, prints and negatives, meet action; posed",1
mm negatives,1
small albums,1
(1 audiotape,1
flat drawers,1
sheets ; pencil on tracing paper,1
"card file boxes, binder",1
"not identified, but most probably of Cadillac Service Building",1
and 60 second PSA,1
leaves,1
tape: 1 min,1
drawers,1
photographs of portrait,1
prints and 2 ; prints by unknown photographer,1
USB thumb drives,1
PDF and .TIFF file,1
folders of 110 and 74 prints,1
"cs, negatives and prints, head shots; meet action, posed",1
folders 83-102,1
oversize artifact,1
linear feet including 1 oversize box,1
linear feet (,1
reel-to-reel audio recordings,1
drawing : pencil and crayon on tracing paper ; or smaller,1
linear feet[64 digital files],1
MB [13 digital files],1
medium,1
motion picture film reels,1
bound volumes with index,1
""" by 14"" prints",1
(5 folders; not all years represented,1
bound sheets for 1917,1
program,1
mm. sound reel,1
"binder, missing volumes I-III and VI-VIII",1
cds and cs,1
renderings on 6 illustration boards,1
oversized volume,1
on 4 sheets of artist's paper,1
"site plan, utility and architectural drawings",1
other images on 1 DVD-R,1
Volumes 1-11,1
"marked ""no good""",1
"binder, missing volumes III and V, VIII",1
primarily 1948-1960,1
and 1 ; prints,1
volumes folders,1
sound cassette tapes,1
black and white print with negative,1
tape: 12 min,1
oversized scrapbooks,1
Pages 1-302,1
phonograph record albums,1
circa 75 sheets,1
mb,1
"survey, utility and architectural drawings",1
MB [6 digital files],1
folders and audiocassettes,1
(cassette,1
linear feet and oversize material,1
Contains CD with Powerpoint,1
"perspectives, architectural drawings and sketches",1
Numbers,1
transparency,1
mp3 files compressed,1
perspective drawings,1
oversize folder on 4 microfilm rolls,1
negs/cs,1
bound sheets for 1916,1
brown folder,1
digital file,1
volume on 1 microfilm reel,1
drawer,1
perspective drawing,1
photos lined as panorama,1
numbers,1
reels of 6 retained,1
notebook binders,1
"surveys, perspectives and architectural drawings",1
mp3 files,1
#3-12 of 13 posters,1
Linear Feet,1
oversize vol,1
foldder,1
(prints,1
includes images that have been printed,1
rolled photographs,1
sound tape reel: and,1
bound ms,1
folders),1
cassete tapes,1
framed drawings,1
