"contact sheets (see other contact sheets with ""Suite to Sleep""",1
contents not listed,1
contents of [x] notebooks,2
coor slides,1
copies,148
copies of [x],1
copies on [x] CDROMS,1
copies with various combinations of views,1
"copies, blue",1
"copies, different drafts",1
"copies, different printings",2
copy,1
copy print,2
correspondence,1
cs only,10
"cs, digital cs",1
"cs, head shots",3
"cs, negatives",1
"cs, prints",11
cups,1
cuts: [x] sec,1
developed Negative strips,1
dicscs,1
different images,1
different portraits,3
different prints,6
"digital cs, negatives prints",1
digital documents,1
digital file,6
digital files,24
digital images,1
digital items,1
digital records,1
disc,40
discs,63
disk produced [x]/[x]/[x],1
diskettes,1
disks,14
display panels,1
double images on [x] negatives,1
drafts,3
drawer,1
drawer [x],1
drawer of oversized material,1
drawers,5
drawing,17
"drawing : pencil, crayon on tracing paper",1
drawing of [x] elevations,1
drawings,159
"drawings, water damaged",1
"ds, cs",1
dual track): [x] [x]/[x] ips,2
duplicates,1
dvds,3
each segment :[x],1
each statement runs about [x] seconds,1
eds,3
"efour [x]"" reels",1
electrical drawings,29
"electrical, landscape drawings",1
"electrical, plumbing drawings",3
electrostatic copy of schematic design sketch,1
electrostatic print,4
electrostatic print on mylar,2
electrostatic prints on mylar,1
elevation,2
elevations,1
"elevations, details",1
elevations. Blueprints,1
embroidered,1
"engineering, architectural",1
enlargements,2
envelope,55
envelope of loose photographs,1
envelopes,345
"envelopes, also medium",1
"eps, xps files",1
essays,1
expand able folders,1
expandable file folder,2
expandable folder,117
expandable folder folders,5
expandable folders,127
expandable folders folders,2
expanding file,1
expanding files,1
expanding folder,1
feet,62
file,9
file boxes,3
file packet,1
files,78
files folders,1
files on [x] CDs,1
filing cabinets,1
film negatives,1
film outsized reels,1
film reels,3
"films, outsized rolled materials",1
flat drawers,2
"flat file drawer, digital files",1
flat file drawers,2
floor plan,1
floppy discs,1
floppy disks,3
floppy sound discs,1
foldder,1
folder,554
folder (photocopies,1
folder [x] of [x],2
folder of loose materials,1
folder of negatives,1
folder of photographs,1
folder of typescripts,1
folder outsize,1
"folder, VHS videotape",1
"folder, album",1
folder>,1
folders,41047
folders ( generally by academic year,1
folders (outsize,1
folders [x] through [x],2
folders [x]-[x],53
folders [x]-[x] of [x],2
folders alphabetically arranged,1
folders also medium,1
folders folders,1
"folders of [x] [x]-[x]/[x]x[x] to [x]x[x]-inch, color prints",1
folders of [x] [x]x[x]-inch,1
"folders of [x] [x]x[x]-inch, black-and-white prints",1
"folders of [x] [x]x[x]-inch, color",1
folders of [x] black and white images,1
folders of [x] color slides,1
folders of black and white positive prints,1
folders of black and white prints,1
folders of color prints,1
"folders of drawings, blueprints",1
folders of pages taken from photo albums,1
folders of photos,1
folders of unfilmed material,1
folders with CD,1
folders) folders,1
"folders,",1
"folders, alphabetically by surname",1
"folders, also medium",16
"folders, audiocassettes",1
"folders, formerly",1
"folders, includes an audiocassette",1
"folders, includes extra prints",1
"folders, includes negatives",1
"folders, includes prints not used",1
"folders, items",1
"folders, loose materials",1
"folders, not all years represented",1
"folders, photos folders",1
"folders, through letter J only",1
formerly [x] reels,1
framed drawings,1
framed portraits,1
frames,277
ft,1
"ft.) with DVD use copy, streaming file",1
glass negatives,2
glass photographic plates,1
glossy photographs,1
"grading, utility",1
head shots,2
"head shots, meet action",8
"head shots, posed",2
hour,2
hour [x] min,1
hour [x] minutes,2
hours,5
hr. [x] min. [x] sec,1
hrs,1
illustrations,2
images,15
images on [x] CD,1
in,34
"in UBImux F[x]), medium",1
in [x] box,13
in [x] boxes,234
in [x] boxes ( not microfilmed,1
in [x] boxes ( various sizes,1
in [x] boxes including [x] outsize box,1
in [x] boxes including outsize,2
in [x] boxes including oversize,2
in [x] drawers,1
in [x] folder,2
in [x] oversize folders,2
in [x] tube,1
in [x] tubes,1
in binder,2
in. reel,3
in. reel-to-reel,1
in. reel-to-reel tape,1
in. reel-to-reel tapes,1
in. reels,1
inch reel,2
inches,8
inclidng [x] audiocassettes,1
includes Data Systems,1
includes [x] architects drawings,1
includes images that have been printed,1
"includes original drawings, pencil",1
"includes original working drawing, pencil",1
includes photograph,1
including [x] Gibson prints,6
including [x] of awards received,1
including [x] v. for [x],1
including [x] with wife & children,1
including ca. [x] glass plate negatives,1
including[x] copyprints,1
indices,1
inear foot,1
ink on linen,1
"ink-on-vellum drawings with pantone overlays, blue-line prints with marker coloring",1
interviews,4
ips,3
irrigation drawings,1
issue,2
issues,51
issues [x]-[x],1
"issues, Fragments",1
"issues, May",1
item,725
"item, outsize folder",1
items,2119
items including [x] Gibson print,2
"items located, outsize folder",1
"items, oversize folder",2
l volume,2
lacking [x]-[x],1
landscape drawings,2
"landscape, utility drawings",1
large,3
large only,24
leaves,1
less than [x] min,1
letter boxes,1
letters,2
li. inches,1
lin. ft,2
"lin. ft., contents not listed",2
linear,2
linear feet,2327
linear feet (UCCs,1
linear feet (including outsize,2
linear feet [x] outsize volume,1
linear feet adn [x] volumes,1
linear feet including [x] oversize box,1
linear feet of original material,1
linear feet of records,1
linear feet plus oversize materials,1
linear feet plus oversize scrapbook,1
"linear feet, feet",1
"linear feet, outsize material",1
"linear feet, outsize photographs",1
linear foot,632
linear foot I [x] boxes,1
linear ft,167
linear ft. (papers not microfilmed,1
linear ft. (partially microfilmed,1
linear ft. Photographs. [x] linear ft,1
"linear ft. Textual, photographic material",1
linear ft. [x] drawings,1
linear ft. [x] vol,1
