num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,144524644,005671277,mdp,"Socialist modern : East German everyday culture and politics / Katherine Pence and Paul Betts, editors.","University of Michigan Press, c2008.",ic-world,,,2008,2008,
1,3079119,000253844,mdp,Endodontics 721 / [John Dowson],"School of Dentistry, University of Michigan, 1976.",ic,,,1976,1976,
1,29477826,002866943,mdp,"Collective security beyond the Cold War / George W. Downs, editor.","University of Michigan Press, c1994.",ic,,,1994,1994,
1,8893685,009915121,mdp,Transportation research at the University of Michigan / Office of Transportation Research.,"Division of Research Development and Administration, University of Michigan, 1976.",ic,,,1976,1976,
2,43847505,003482369,mdp,The Orchid Pavilion gathering : Chinese painting from the University of Michigan Museum of Art / Marshall P.S. Wu.,"Regents of the University of Michigan, c2000.",ic,,1-2,2000,2000,
1,local (non-oclc): 005304175,005304175,mdp,The stock dividend / by M. Richard Sussman.,"Bureau of Business Research, School of Business Administration, University of Michigan, 1962.",pd,,,1962,1962,
1,9960809,002198096,mdp,"Strabismus and amblyopia screening of infants, toddlers, and preschoolers / E. Jean Martonyi, Ida L. Iacobucci ; Richard M. Fritzler, medical illustrator.","University of Michigan, c1981.",ic,,,1981,1981,
1,23315438,001759805,mdp,Citations and citation indexes; a review.,"Mental Health Research Institute, University of Michigan, 1967.",ic,,,1967,1967,
1,local (non-oclc): 005304179,005304179,mdp,Objectivity in accounting / [by] Curtis H. Stanley.,"Bureau of Business Research, Graduate School of Business Administration, University of Michigan, 1965.",ic,,,1965,1965,
1,22493770,002481801,mdp,"Economics and politics : the calculus of support / edited by Helmut Norpoth, Michael S. Lewis-Beck, and Jean-Dominique Lafay.","University of Michigan Press, c1991.",ic,,,1991,1991,
1,30355360,002905615,mdp,Ideology and the theory of political choice / Melvin J. Hinich and Michael C. Munger.,"University of Michigan Press, c1994.",ic and ic-world,,,1994,1994,
1,29895319,003305222,mdp,"Michigan -- its past and its future : excerpts from addresses delivered at the 1937 celebration of the University of Michigan, Ann Arbor, June 14-19, 1937, commemorating the centennial of the establishment of the University in Ann Arbor in June, 1837.","University of Michigan, [1938]",pd,,,1938,1938,
1,148859024,005650493,mdp,"Pigeon River Country : a Michigan forest / Dale Clarke Franz ; contributors, Sibley Hoobler ... [et al.].","University of Michigan Press, c2007.",ic,,,2007,2007,
1,41503033,003502133,mdp,Legalizing moves : Salvadoran immigrants' struggle for U.S. residency / Susan Bibler Coutin.,"University of Michigan Press, c2000.",ic-world,,,2000,2000,
2,14639317,000539093,mdp,"The Chinese : adapting the past, building the future / edited by Robert F. Dernberger ... [et al.]","University of Michigan, Center for Chinese Studies, 1986",ic,,1,1986,1986,
2,344524,002352126,mdp,Readings in Japanese social anthropology and sociology.,"The University of Michigan Press, 1966.",ic,,,1966,1966,
1,34101928,003024960,mdp,Design process and methods / prepared by David Kuckuk and Paul Silverberg under the direction of Colin Clipson and Joseph Wehrer.,"College of Architecture and Urban Planning, University of Michigan, 1977.",pdus,,,1977,1977,
1,35029675,003198682,mdp,The Margins of the text / edited by D.C. Greetham.,"University of Michigan Press, c1997.",ic,,,1997,1997,
1,21558589,002188758,mdp,Verbal idioms of the Qur'ān / Mustansir Mir.,"Center for Near Eastern and North African Studies, University of Michigan, 1989.",ic-world,,,1989,1989,
1,1491964,001029416,mdp,Fingers of Hermes : poems / by Radcliffe Squires.,"University of Michigan Press, [1965]",ic,,,1965,1965,
1,992559,004534223,mdp,"Business schools and economic growth; proceedings. Floyd A. Bond, editor.","Graduate School of Business Administration, University of Michigan [c1964]",ic,,,1964,1964,
1,1078178,000026599,mdp,Projecting college and university enrollments: analyzing the past and focusing the future by Wayne L. Mangelson and others.,"Center for the Study of Higher Education, School of Education, University of Michigan, 1974.",ic,,,1974,1974,
1,51810562,004342674,mdp,The jurisprudence of emergency : colonialism and the rule of law / Nasser Hussain.,"University of Michigan Press, c2003.",ic,,,2003,2003,
1,35055531,003148379,mdp,Charles Simic : essays on the poetry / edited by Bruce Weigl.,"University of Michigan Press, c1996.",ic,,,1996,1996,
1,25245524,002566658,mdp,"How dramas end : essays on the German Sturm und Drang, Büchner, Hauptmann, and Fleisser / Henry J. Schmidt.","University of Michigan Press, c1992.",ic,,,1992,1992,
1,25245526,002568625,mdp,Diplomas and thatch houses : asserting tradition in a changing Micronesia / Juliana Flinn.,"University of Michigan Press, c1992.",ic,,,1992,1992,
1,21302036,002210225,mdp,"Tacit bargaining, arms races, and arms control / George W. Downs, David M. Rocke.","University of Michigan Press, 1990.",ic,,,1990,1990,
1,4853967,000355109,mdp,Coping with administrators' information overload.,"Mental Health Research Institute, University of Michigan, 1963.",pd,,,1963,1963,
1,14497286,000585937,mdp,Living in the multigeneration family : papers / by John C. Beresford ... [et al.],"Institute of Gerontology, University of Michigan-Wayne State University, 1969.",ic,,,1969,1969,
1,38293092,a2568217,pst,"Post-Soviet Eurasia : anthropological perspectives on a world in transition / edited by Kathryn Lyon, Laada Bilaniuk, and Ben Fitzhugh.","Dept. of Anthropology, University of Michigan, c1996.",ic,,,1996,1996,
1,23980529,002748188,mdp,Esther B. Van Deman : immagini dall'archivio di un'archeologa Americana in Italia all'inizio del secolo / a cura di Karin Einaudi ; con contributi di Katherine A. Geffcken=Esther B. Van Deman : images from the archive of an American Archaeologist in Italy at the turn of century / edited by Karin Einaudi ; with contributions by Katherine A. Geffcken.,"American Academy in Rome ; Kelsey Museum of Archaeology of the University of Michigan, 1991.",ic,,,1991,1991,
1,5676237,000692598,mdp,Pot shots at poetry / Robert Francis.,"University of Michigan Press, c1980.",ic,,,1980,1980,
1,1100424,007009083,mdp,Guaranteeing income and encouraging child care / by C. Russell Hill.,"Institute of Public Policy Studies, the University of Michigan, [1973 or 1974]",und,,,1974,1974,
1,1148141,001118372,mdp,"Data processing in the social sciences with OSIRIS / Judith Rattenbury, Paula Pelletier.","Survey Research Center, Institute for Social Research, University of Michigan, 1974.",ic-world,,,1974,1974,
1,43810877,003530829,mdp,The body aesthetic : from fine art to body modification / edited by Tobin Siebers.,"University of Michigan Press, c2000.",ic,,,2000,2000,
1,34356757,003104010,mdp,"The culture of merit : nobility, royal service, and the making of absolute monarchy in France, 1600-1789 / Jay M. Smith.","University of Michigan Press, c1996.",ic-world,,,1996,1996,
1,1885486,001683015,mdp,"A review of the dragonflies of the genera Neurocordulia and Platycordulia,","University of Michigan press, 1937.",pd,,,1937,1937,
1,52631313,004360062,mdp,"Other Germans : Black Germans and the politics of race, gender, and memory in the Third Reich / Tina Campt.","University of Michigan, c2004.",ic-world,,,2004,2004,
2,3577481,3923531,uc1,Occasional papers in gerontology.,"Institute of Gerontology, University of Michigan-Wayne State University, 1968-75.",ic and und,1972-1975,,1972,1975,
1,26532710,002584754,mdp,"Teaching tips for users of the Motivated strategies for learning questionnaire (MSLQ) / Glenn Ross Johnson, task force chairman ... [et al].","National Center for Research to Improve Postsecondary Teaching and Learning, University of Michigan, 1991",ic,,,1991,1991,
1,5578764,000759042,mdp,Maternal guilt and mental health professionals : a reconfirming interaction / Susan Weisskopf.,"Women's Studies Program, University of Michigan, 1978.",ic,,,1978,1978,
1,28287555,002639027,mdp,Beyond occidentalism : towards post-imperial geohistorical categories / Fernando Coronil.,"University of Michigan, [1992]",ic,,,1992,1992,
1,62282661,005247473,mdp,The Hellenistic monarchies : selected papers / Christian Habicht.,"University of Michigan, c2006.",ic-world,,,2006,2006,
1,23338591,002008319,mdp,A plan for the organization of technical and industrial high schools in Orissa.,"University of Michigan, 1948.",pd,,,1948,1948,
6,243877518,000067147,mdp,Cast gold restorations : procedure manual.,"School of Dentistry, University of Michigan,",ic and und,1975-1984,,1975,1984,
1,1889682,001683054,mdp,The crane flies of Alaska and the Canadian Northwest,"Museum of Zoology, University of Michigan, 1955.",und,,,1955,1955,
1,25629721,002582812,mdp,The Divided home/land : contemporary German women's plays / edited by Sue-Ellen Case.,"University of Michigan Press, c1992.",ic,,,1992,1992,
1,36581958,003197556,mdp,"A user's guide to German cultural studies / edited by Scott Denham, Irene Kacandes, and Jonathan Petropoulos.","University of Michigan Press, c1997.",ic,,,1997,1997,
1,396810,004535066,mdp,"State economic development, status and appraisal [by] Alfred W. Swinyard, Henrik O. Helmers [and] James N. Vedder.","Bureau of Business Research, University of Michigan [1967]",ic,,,1967,1967,
1,1127068,001748832,mdp,Knowledge into power: a theory of policy change.,"Institute of Public Policy Studies, University of Michigan] 1973.",ic,,,1973,1973,
1,11894076,003929642,mdp,"History of the Department of Dermatology, The University of Michigan Medical School.","University of Michigan], [1984].",ic-world,,,1984,1984,
1,6213998,004739031,miua,"Inshore Lake Michigan fish populations near the D.C. Cook Nuclear Power Plant during preoperational years, 1973, 1974 / by D.J. Jude ... [et al.].","Great Lakes Research Division, University of Michigan, 1979.",ic,,,1979,1979,
1,27384360,GLAD84455228-B,uc1,"South Asian studies in North American higher education / Joseph E. Schwartzberg, editor, for the South Asia Council, Association for Asian Studies.","Association for Asian Studies, University of Michigan,$c1989",ic,,,1989,1989,
1,3702886,001287983,mdp,"Helping teachers change their behavior, an inservice training project utilizing sound filmstrips, interaction analysis, self-directed experimentation:","[University of Michigan, School of Education] 1963.",ic,,,1963,1963,
1,65837385,000103295,mdp,"Nutrition in health care : a workbook / Marjorie Murphy, Anne Macmillan Shryock, John G. Sulewski.","University of Michigan, 1981.",ic,,,1981,1981,
1,32630472,002973594,mdp,Ajanta : a brief history and guide / by Walter M. Spink.,"Asian Art Archives of the University of Michigan, [199-?]",ic,,,1990,1990,
1,1885032,001683007,mdp,"Mammals from Guatemala and British Honduras,","University of Michigan press, 1935.",pd,,,1935,1935,
1,40251555,003349132,mdp,Christians in Asia before 1500 / Ian Gillman and Hans-Joachim Klimkeit.,"University of Michigan Press, c1999.",ic,,,1999,1999,
1,50858964,004342491,mdp,"The troubles in Ballybogoin : memory and identity in Northern Ireland / William F. Kelleher, Jr.","University of Michigan Press, c2003.",ic-world,,,2003,2003,
1,2811622,a1315074,pst,Social singing among the Mapuche / by Mischa Titiev.,"University of Michigan Press, 1949.",ic,,,1949,1949,
1,35260597,002453886,mdp,Constraints imposed by acid sulfate soils on the Gambia's bridge-barrage scheme / by Raymond Colley.,"Great Lakes and Marine Waters Center, University of Michigan, 1985.",ic,,,1985,1985,
1,1295290,000964045,mdp,The President makes a decision: a study of Dixon-Yates.,"Institute of Public Administration, University of Michigan, 1960.",und,,,1960,1960,
1,27966485,002901678,mdp,"William J. Gedney's the Saek language : glossary, texts, and translations / edited by Thomas John Hudak.","Center for South and Southeast Asian Studies, University of Michigan, c1993.",ic,,,1993,1993,
1,41539831,003336682,mdp,"The documents center : what's up there, anyway? / by CHristy J. Havens.","The University of Michigan, [1987]",ic,,,1987,1987,
1,15367077,000859345,mdp,The death penalty in the eighties : an examination of the modern system of capital punishment / Welsh S. White.,"University of Michigan Press, c1987.",ic,,,1987,1987,
1,10147381,000280309,mdp,The Future of Nineteen eighty-four / edited and with an introduction by Ejner J. Jensen.,"University of Michigan Press, c1984.",ic,,,1984,1984,
1,2210120,b167841907,uc1,Systems of organization : management of the human resource / David G. Bowers.,"University of Michigan Press, c1976.",ic,,,1976,1976,
1,52214660,.b46396536,uc1,"Trade threats, trade wars : bargaining, retaliation, and American coercive diplomacy / Ka Zeng","University of Michigan Press, c2004",ic and ic-world,,,2004,2004,
1,154666470,005671367,mdp,Jackie Ormes : the first African American woman cartoonist / Nancy Goldstein.,"University of Michigan Press, c2008.",ic,,,2008,2008,
4,8595493,000054082,mdp,University of Michigan publications.,"University of Michigan press, 1945-",ic,1945-1963,1 and 3-4,1945,1963,
1,4362661,000219328,mdp,"National survey of Fortune's ""500"" pre-retirement programs and plans / prepared by Richard S. Prentis.","Institute of Labor and Industrial Relations, University of Michigan-Wayne State University, 1975.",pdus,,,1975,1975,
1,1170943,000562637,mdp,Architecture as a humane art.,"College of Architecture and Design, University of Michigan, [1973]",ic,,,1973,1973,
1,9381639,001144132,mdp,"The Michigan Department of Administration,","Bureau of Government, Institute of Public Administration, University of Michigan, 1956.",und,,,1956,1956,
1,20724732,002514149,mdp,"The appropriated voice : narrative authority in Conrad, Forster, and Woolf / Bette London.","University of Michigan Press, c1990.",ic,,,1990,1990,
1,2563366,001496395,mdp,"Marine Algae of the northeastern coast of North America,","University of Michigan press, 1937.",pd,,,1937,1937,
1,23327537,001975299,mdp,"The quarter-centennial reunion, class of eighteen-ninety-two, University of Michigan, June twenty-fifth to twenty-seventh, nineteen hundred and seventeen; and addresses of all classmates, comp. by William Warner Bishop ...","University of Michigan, 1919.",pd,,,1919,1919,
1,14546419,1491868,coo,A survey and comparison of youth fitness 1958-1965 [by] Paul A. Hunsicker [and] Guy G. Reiff.,"University of Michigan, 1965.",ic,,,1965,1965,
1,23337808,002006686,mdp,Preliminary edition of general purpose simulation system/360: introductory concepts and case studies.,University of Michigan] 1968.,ic,,,1968,1968,
1,227895,b168093121,uc1,Constitutional uniformity and equality in State taxation.,"University of Michigan Law School, 1959.",pd,,,1959,1959,
1,48613794,004281253,mdp,The otherness of self : a genealogy of the self in contemporary China / Xin Liu.,"The University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,47652331,003554830,mdp,"Assessing the impact of welfare reform on nonprofit organizations in Southeast Michigan : implications for policy and practice : report / prepared the Nonprofit Sector Research Fund, Aspen Institute ; Michael Reisch, David Sommerfeld.","University of Michigan School of Social Work, [2001?]",ic,,,2001,2001,
1,28677022,002795575,mdp,Wife and widow in medieval England / edited by Sue Sheridan Walker.,"University of Michigan Press, c1993.",ic,,,1993,1993,
1,2660907,000169941,mdp,"Documentation for MIDAS / Daniel J. Fox, Kenneth E. Guire.","Statistical Research Laboratory, University of Michigan, 1976-",ic-world,,,1976,1976,
1,3851941,004514694,mdp,Distribution of the aboriginal population of Michigan / by W. B. Hinsdale.,"University of Michigan Museum of Anthropology, 1968.",ic,,,1968,1968,
1,54906957,004928700,mdp,A century of November : a novel / W.D. Wetherell.,"University of Michigan Press, c2004.",ic-world,,,2004,2004,
1,28278778,002638962,mdp,"The social origins of dictatorship, democracy and socialist revolutions in Central America / Jeffery M. Paige.","University of Michigan, [1989]",ic,,,1989,1989,
1,23637012,820410,inu,Personnel adaptations in the Federal Junior Management Assistant Program.,"Institute of Public Administration, University of Michigan, 1961.",ic,,,1961,1961,
1,5451749,000758276,mdp,"The future of bibliographic access in the University of Michigan Library : papers presented to the staff of the University of Michigan Library in a professional forum, April 11, 1978.","University of Michigan Library, 1978.",ic,,,1978,1978,
1,63027964,.b1611873x,uc1,Doktor Zhivago.,University of Michigan Press 1958.,ic,,,1958,1958,
1,32303062,.b33628105,uc1,A model of the bimetallic system / Stefan E. Oppers,"Institute of Public Policy Studies, University of Michigan, [1993]",ic,,,1993,1993,
1,37335524,003545459,mdp,"Allies and Morrison / [editor, Annette W. LeCuyer].","University of Michigan College of Architecture + Urban Planning, c1996.",ic,,,1996,1996,
1,2275868,001024472,mdp,Prometheus unbound.,"University of Michigan Press, [1957]",pd,,,1957,1957,
1,261164,000213100,umn,"Common stock values and yields, 1950-61; a study of common stocks as long-term investments with particular emphasis on investment yields [by] Wilford J. Eiteman and Dean S. Eiteman.","Bureau of Business Research, Graduate School of Business Administration, University of Michigan, 1962.",ic,,,1962,1962,
1,61938,001664103,mdp,"John Monteith, first president of the University of Michigan [by] Roscoe O. Bonisteel.",University of Michigan [1967],ic-world,,,1967,1967,
1,1856105,000691435,mdp,"Benefit-cost analysis for mental retardation programs : theoretical considerations and a model for application / Julius S. Cohen, project director ... [et al.]","Institute for the Study of Mental Retardation and Related Disabilities, University of Michigan, [1971]",ic,,,1972,1972,
1,8493068,223396,inu,The cyprinid dermosphenotic and the subfamily Rasborinae / by William A. Gosline.,"Museum of Zoology, University of Michigan, 1975.",ic,,,1975,1975,
1,185888,001116760,mdp,"Financial analysis of current operations of colleges and universities,","Institute of Public Administration, University of Michigan, 1966.",ic,,,1966,1966,
1,80710664,004537709,mdp,"The University of Michigan-Flint : an institutional profile, 1971-72 -- 1981-82.","University of Michigan-Flint], [1982?].",ic,,,1982,1982,
1,16472463,000917230,mdp,"Robert Lowell, interviews and memoirs / edited by Jeffrey Meyers.","University of Michigan Press, c1988.",ic,,,1988,1988,
1,185882,001068101,mdp,An analysis of the specific features which characterize the more successful programs for the recruitment and training of college teachers [by] Frank Koen and Stanford C. Ericksen.,"Center for Research on Learning and Teaching, University of Michigan, 1967.",ic,,,1967,1967,
1,179794158,005976053,mdp,International political earthquakes / Michael Brecher ; with valuable contributions by Philip B.K. Potter (Part A) and Anne-Marie Durocher (Part B).,"University of Michigan Press, c2008.",ic-world,,,2008,2008,
2,49547053,005023628,mdp,"The Meṛtīyo Rāṭhoṛs of Meṛto, Rājasthān : select translations bearing on the history of a Rajpūt family, 1462-1660 / translated and annotated by Richard D. Saran and Norman P. Ziegler.","University of Michigan, Centers for South and Southeast Asian Studies, c2001.",ic,,1-2,2001,2001,
1,166273642,005689961,mdp,Mishima on stage : the Black lizard and other plays / edited and with an introduction by Laurence Kominz.,"The University of Michigan, 2007.",ic,,,2007,2007,
1,68944973,004371493,mdp,"Back pain and disability : practical solutions for primary care : May 14-15, 1999, Towsley Center & The Spine Program, Ann Arbor, Michigan / [presented by] University of Michigan Medical School and The Spine Program.","University of Michigan Medical School & The Spine Program, 1999.",ic,,,1999,1999,
1,local (non-oclc): 005428193,005428193,mdp,Creating a neighborhood of choice.,"University of Michigan, Urban & Regional Planning, 2005.",ic,,,2005,2005,
1,5674637,b167506857,uc1,"Open between us / David Ignatow ; edited by Ralph J. Mills, Jr.","University of Michigan Press, c1980.",ic,,,1980,1980,
1,8476006,000232668,mdp,Parti-colored blocks for a quilt / Marge Piercy.,"The University of Michigan Press, c1982.",ic,,,1982,1982,
1,23342377,000613480,mdp,Pedodontics 840 / Paul J. Loos ... [et al.].,"The University of Michigan Dental Publications, 1985, c1977.",ic,,,1985,1985,
1,56777121,6444257,wu,"A directory of film evaluations for teachers of business subjects / prepared by Kappa Chapter, Delta Pi Epsilon, 1947 Chapter Research Project ; compiled at the University of Michigan.","Vocational Education Dept., School of Education, University of Michigan, 1947.",pd,,,1947,1947,
1,6390149,002192482,mdp,A furniture family : the Slighs of Michigan / Francis X. Blouin and Thomas E. Powers.,"Michigan Historical Collections/Bentley Historical Library, University of Michigan, [1980]",ic,,,1980,1980,
1,63530480,2211255,coo,"Long hours on the job? : not so bad for some adolescents in some types of jobs : the quality of work and substance use, affect and stress / John Schulenberg and Jerald G. Bachman.","Institute for Social Research, University of Michigan], 1993.",ic,,,1993,1993,
1,1267021,001455313,mdp,"Studies in Malaysian oral and musical traditions : Music in Kelantan, Malaysia, and some of its cultural implications / William P. Malm. Professional Malay story-telling : some questions of style and presentation / Amin Sweeney.","Center for South and Southeast Asian Studies, University of Michigan, 1974.",ic,,,1974,1974,
1,38467091,003333319,mdp,"Phylogenetic revision of Atherinopsinae (Teleostei, Atherinopsidae), with comments on the systematics of the South American freshwater fish genus Basilichthys Girard / by Brian S. Dyer.","Museum of Zoology, University of Michigan, [1997]",ic,,,1997,1997,
1,122701485,005649747,mdp,Kinship & diasporas in international affairs / Yossi Shain.,"University of Michigan Press, c2007.",ic-world,,,2007,2007,
1,37808487,003190149,mdp,Cost analysis of servicing requests from local industries / prepared by Community Systems Foundation.,"University of Michigan, 1963]",ic-world,,,1963,1963,
1,1786335,002131046,mdp,Michigan directory of importers.,"[Bureau of Business Research, Graduate School of Business Administration, University of Michigan]",ic,,,1973,1973,
1,796725,001683097,mdp,"The Mollusca of Michigan,","The University of Michigan press, 1932.",pd,,,1932,1932,
1,70883078,005564429,mdp,Law and the rural economy in the Roman Empire / Dennis P. Kehoe.,"University of Michigan Press, c2007.",ic-world,,,2006,2006,
1,39964369,003299150,mdp,Guide to counseling and student services for faculty and staff.,"Student Affairs Counseling Office, University of Michigan,",ic,,,1971,1971,
1,27695631,.b32331423,uc1,The European Community and world trade : the commercial policy dimension / John H. Jackson,"Institute of Public Policy Studies, University of Michigan, [1991]",ic,,,1991,1991,
1,28643905,7688897,wu,"The super-university, the university housing problem : two discussions of university problems, some recent books by members of the University faculties.","University of Michigan, [1932]",und,,,1932,1932,
1,153751404,a141080,pst,Partial portraits / new introd. by Leon Edel.,"University of Michigan Press, [c1970].",ic,,,1970,1970,
1,610111,001465984,mdp,"Philanthropic foundations and the University of Michigan, 1922-1965, by Alan H. Jones.",University of Michigan School of Education [1972],ic,,,1972,1972,
1,local (non-oclc): 005109121,005109121,mdp,A student's guide to analytical physics / Donald E. DeGraaf.,"University of Michigan at Flint, 1970.",ic,,,1970,1970,
2,29652840,1893510,coo,Bulletin.,"University of Michigan Press, 1932-",und,,,,,
1,70889,001249097,mdp,"Afghanistan, some new approaches. [by] George Grassmuck and Ludwig W. Adamec with Frances H. Irwin, editors.","Center for Near Eastern and North African Studies, University of Michigan, [1969]",ic,,,1969,1969,
1,1888653,000705643,mdp,"... The Amnicolidae of Michigan: distribution, ecology, and taxonomy, by Elmer G. Berry.","University of Michigan press, 1943.",ic,,,1943,1943,
1,17767321,000925403,mdp,"European and American wind and percussion instruments : catalogue of the Stearns collection of musical instruments, University of Michigan / James M. Borders.","University of Michigan Press, c1988.",ic,,,1988,1988,
1,11599884,000653632,mdp,"Federal policy and the mobility of older homeowners : the effects of the one-time capital gains exclusion / Sandra Newman, James Reschovsky ; project manager, Robert Marans.","Survey Research Center, Institute for Social Research, University of Michigan, 1985.",ic-world,,,1985,1985,
1,47521254,004229580,mdp,The limits to union : same-sex marriage and the politics of civil rights / Jonathan Goldberg-Hiller.,"University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,2497849,000738869,mdp,State and society in eighteenth-century China : the Chʻing empire in its glory / by Albert Feuerwerker.,"Center for Chinese Studies, University of Michigan, 1976.",ic,,,1976,1976,
1,1889304,001508024,mdp,A study of small mammal populations in northern Michigan.,"University of Michigan Press, 1949.",pd,,,1949,1949,
1,3607014,001763994,mdp,"Modern China, 1840-1972; an introduction to sources and research aids.","Center for Chinese Studies, University of Michigan, 1973.",ic,,,1973,1973,
1,2781368,004551201,mdp,"International business : essential considerations for growing Midwest enterprise / proceedings, Laurence P. Dowd, editor.","Bureau of Business Research, School of Business Administration, University of Michigan, 1960.",und,,,1960,1960,
1,39765518,003321789,mdp,Positive political theory I : collective preference / David Austen-Smith and Jeffrey S. Banks.,"University of Michigan Press, c1999.",ic,,,1999,1999,
1,62090730,005223259,mdp,"Mr. Democrat : Jim Farley, the New Deal, and the making of modern American politics / Daniel Scroop.","University of Michigan Press, c2006.",ic,,,2006,2006,
1,local (non-oclc): 005559518,005559518,mdp,Against health! How ideologies of health and healthcare can stand in the way of good living.,"University of Michigan, 2006.",ic,,,2006,2006,
1,68426246,002578795,mdp,Information manual on animal care and use / prepared by the faculty and staff of the Unit for Laboratory Animal Medicine.,"Unit for Laboratory Animal Medicine, University of Michigan, [1987]",ic,,,1987,1987,
1,3640712,1488654,coo,"A manual of county administrative organization in Michigan, by Claude R. Tharp ....","University of Michigan press, 1944.",pd,,,1944,1944,
1,6304951,000732824,mdp,The old poetries and the new / Richard Kostelanetz.,"University of Michigan Press, c1981.",ic,,,1981,1981,
1,15124460,001731849,mdp,"Curriculum problems in physical education, school health and recreation; selected lectures from a two-week institute course at the University of Michigan, July 18-29, 1938.","Bureau of educational reference and research, University of Michigan [1938]",und,,,1938,1938,
1,45953,b168181873,uc1,The early years of Lenin [by] Nikolai Valentinov (N. V. Volski). Translated and edited by Rolf H. W. Theen. Introd. by Bertram D. Wolfe.,University of Michigan Press [c1969],ic,,,1969,1969,
1,36739491,.b19766166,uc1,The poetry and paintings of the First Bible of Charles the Bald / Paul Edward Dutton and Herbert L. Kessler,"University of Michigan Press, c1997",ic,,,1997,1997,
1,27224545,002780149,mdp,Lying and poetry from Homer to Pindar : falsehood and deception in archaic Greek poetics / Louise H. Pratt.,"University of Michigan Press, c1993.",ic,,,1993,1993,
1,67059,000453924,mdp,"Carolingian chronicles: Royal Frankish annals and Nithard's Histories. Translated by Bernhard Walter Scholz, with Barbara Rogers.",University of Michigan Press [1970],ic,,,1970,1970,
1,32351869,.b33628634,uc1,Import now! : an analysis of voluntary import expansions (VIEs) to increase U.S. market shares in Japan / Theresa Greaney,"Institute of Public Policy Studies, University of Michigan, [1993]",ic,,,1993,1993,
1,47013082,004231721,mdp,Chaucer's Italian tradition / Warren Ginsberg.,"University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,395986,001595638,mdp,The fate of man in the modern world / by Nicolas Berdyaev ; translated by Donald A. Lowrie.,"University of Michigan Press, 1961, c1935.",und,,,1961,1961,
1,40489147,.b41238916,uc1,After neoliberalism : what next for Latin America? / edited by Lance Taylor,"University of Michigan Press, c1999",ic,,,1999,1999,
1,23311254,000140540,mdp,Report of the Task Force on the Design of the University Library Bibliographic Data Base / Alice Allen ... [et al.],"University of Michigan, Library], 1979.",ic,,,1979,1979,
1,23311250,002046044,mdp,Supervisory responsibility and authority.,"University of Michigan, c1957]",und,,,1957,1957,
1,35258832,002470105,mdp,Notes for physics of music / Gabriel Weinreich.,"University of Michigan?], 1978.",ic,,,1978,1978,
4,25172084,7161332,uiug,"College of Literature, Science, and the Arts.","University of Michigan,",ic and pd,1909-1970,,1909,1970,
1,47200317,004230444,mdp,Our women are free : gender and ethnicity in the Hindukush / Wynne Maggi.,"University of Michigan Press, c2001.",ic,,,2001,2001,
1,8784910,000857093,mdp,"An organizational framework for conducting evaluations of built environments / Robert W. Marans, Kent F. Spreckelmeyer.","Survey Research Center, Institute for Social Research, University of Michigan Architectural Research Laboratory, College of Architecture and Urban Planning, University of Michigan, 1981.",ic,,,1981,1981,
1,2487404,a255228,pst,Imagination : a psychological critique / By Jean-Paul Sartre. Translated with an introduction by Forrest Williams.,"University of Michigan Press, 1972.",ic,,,1972,1972,
1,20726558,001076650,mdp,"American intervention in northern Russia, 1918-1919 : the Polar Bear Expedition : a guide to the resources in the Michigan Historical Collections / compiled by Leonard A. Coombs.","Michigan Historical Collections, Bentley Historical Library, University of Michigan, [1988]",ic,,,1988,1988,
1,918022,001324394,mdp,Creative tension; the life and thought of Kenneth Boulding.,"University of Michigan Press, [1974]",ic,,,1974,1974,
1,29910692,.b1799570x,uc1,Macaronic sermons : bilingualism and preaching in late-medieval England / Siegfried Wenzel.,"University of Michigan Press, c1994.",ic and ic-world,,,1994,1994,
1,50582056,004342726,mdp,Roman Propertius and the reinvention of Elegy / Jeri Blair Debrohun.,"University of Michigan Press, c2003.",ic-world,,,2003,2003,
1,23340840,002012642,mdp,Engineering: a profession; the functional aspects of engineering. Edited by J. Anderson Ashburn; foreword by Professor A. D. Moore ...,"The Michigan technic, College of engineering, University of Michigan, 1939.",und,,,1939,1939,
1,16805560,000879233,mdp,The first electronic computer : the Atanasoff story / Alice R. Burks and Arthur W. Burks.,"University of Michigan Press, c1988.",ic,,,1988,1988,
1,1531617,001496062,mdp,"Adaptation in natural and artificial systems : an introductory analysis with applications to biology, control, and artificial intelligence / by John H. Holland.","University of Michigan Press, [1975]",ic,,,1975,1975,
658,24801012,000047812,mdp,University of Michigan official publication.,"University of Michigan, 1927-1971.","ic, und, and ic-world",1937-2000,"1-20, 22-24, 26-29, 38, and 40-70",1937,2000,
1,59689884,.b171864529,uc1,"The Burmese polity, 1752-1819 : politics, administration, and social organization in the early Kon-baung period / William J. Koenig.","Center for South and Southeast Asian Studies, University of Michigan, 1990.",ic,,,1990,1990,
1,27145837,002643633,mdp,The heavenly twins / by Sarah Grand ; introduction by Carol A. Senf.,"University of Michigan Press, 1992.",ic,,,1992,1992,
