num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,45326472,004206908,mdp,"""A truthful impression of the country"" : British and American travel writing in China, 1880-1949 / Nicholas Clifford.","University of Michigan Press, c2001.",ic-world,,,2001,2001,
1,84697,000978722,mdp,A cross-national appraisal of preretirement education [by] Woodrow W. Hunter.,"Division of Gerontology, University of Michigan, 1965.",ic,,,1965,1965,
1,34112147,003025000,mdp,Education in citizenship / by Harold M. Dorr.,"Extension Service, University of Michigan, [1940]",und,,,1940,1940,
2,5971357,001876249,mdp,"The travel market, 1957.","Survey Research Center, Institute for Social Research, University of Michigan, 1958.",ic-world,,,1958,1958,
1,274901,001027768,mdp,"The recognition of Edgar Allan Poe; selected criticism since 1829, edited by Eric W. Carlson.","University of Michigan Press, [1966]",ic,,,1966,1966,
1,13860868,000820528,mdp,"The late medieval Balkans : a critical survey from the late twelfth century to the Ottoman Conquest / John V.A. Fine, Jr.","University of Michigan Press, c1987.",ic-world,,,1987,1987,
1,66898291,000875356,mdp,The Michigan displaced auto workers study.,"Industrial Development Division, Institute of Science and Technology, the University of Michigan, 1982?]",ic,,,1982,1982,
1,2719343,000171418,mdp,An outline of fixed prosthodontics / George E. Myers ... [et al.].,"University of Michigan, 1977.",ic,,,1977,1977,
1,1848943,001246188,mdp,Memoirs of a janissary / Konstantin Mihailović ; translated by Benjamin Stolz ; historical commentary and notes by Svat Soucek.,"Published under the auspices of the Joint Committee on Eastern Europe, American Council of Learned Societies, by the Dept. of Slavic Languages and Literatures, University of Michigan, 1975.",ic,,,1975,1975,
1,32352927,.b33628622,uc1,The Stolper-Samuelson theorem : a golden jubilee,"Institute of Public Policy Studies, University of Michigan, [1993?]",ic,,2,1993,1993,
1,27430238,002886037,mdp,"Rationality, justice and the social contract : themes from Morals by agreement / edited by David Gauthier and Robert Sugden.","University of Michigan Press, c1993.",ic,,,1993,1993,
5,4518436,"001682605,004158511",mdp,Papyri and ostraca from Karanis.,"The University of Michigan Press, 1944-51.",ic and und,,1-2,1951,1951,
1,49699341,003844984,mdp,Vandals to Visigoths : rural settlement patterns in early Medieval Spain / Karen Eva Carr.,"University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,23320919,000280811,mdp,"Pedodontics 642 / Frederick G. More, Richard E. Corpron.","School of Dentistry, University of Michigan, 1981.",ic,,,1981,1981,
9,local (non-oclc): 004513456,004513456,mdp,"Middle English dictionary / Hans Kurath, editor ; Sherman M. Kuhn, associate editor.","University of Michigan Press ; G. Cumberledge, Oxford University Press, c1952-<c1984 [i.e. c1986] >",ic,,,,,
1,local (non-oclc): 005023330,005023330,mdp,"Score card ratings of Centreville, Michigan : a report to the community / by Robert Pitts ; prepared by the Adult Education Program, University of Michigan.","Adult Education Program, University of Michigan, 1941.",pd,,,1941,1941,
1,60741959,005119416,mdp,Clemency & cruelty in the Roman world / Melissa Barden Dowling.,"University of Michigan Press, c2006.",ic-world,,,2006,2006,
1,5737824,002140932,mdp,"A panel study of income dynamics : procedures and tape codes, 1978 interviewing year, Wave XI, a supplement / Survey Research Center.","Institute for Social Research, University of Michigan, 1979.",ic-world,,,1979,1979,
1,34978678,003066095,mdp,Head and neck anatomy / Sally Holden.,"University of Michigan], 1995.",ic,,,1995,1995,
1,68945102,004371650,mdp,Professional education and the soul of the American research university / Harold T. Shapiro.,"University of Michigan, 2002.",ic,,,2001,2001,
1,38519168,003307163,mdp,Bendectin on trial : a study of mass tort litigation / Joseph Sanders.,"University of Michigan Press, c1998.",ic,,,1998,1998,
1,237525,b168071034,uc1,"Labor relations and productivity in the building trades,","Bureau of Industrial Relations, University of Michigan [1956]",pd,,,1956,1956,
2,3195366,000294445,mdp,"Fisheries and integrated Mekong River basin development : terminal report of the Mekong Basinwide Fishery Studies / Karl F. Lagler, director.","University of Michigan, School of Natural Resources, 1976",ic,,1,1976,1976,
1,232006,GLAD50968341-B,uc1,Job development for the hard-to-employ [by] Louis A. Ferman.,"Institute of Labor and Industrial Relations, University of Michigan-Wayne State University and the West Virginia University Center for Appalachian Studies and Development, 1969.",ic,,,1969,1969,
1,54960522,004930940,mdp,"Eat what you kill : the fall of a Wall Street lawyer / Milton C. Regan, Jr.","University of Michigan Press, c2004.",ic-world,,,2004,2004,
