"Abbitt, W. H"
"Bliss, Tasker Howard, 1853-1930"
"Bliss, William"
"Blitch, Iris, 1912-1993"
"Bliven, Bruce, 1889-1977"
"Block, Herbert, 1909-2001"
"Blodgett, Delos A., 1825-1908"
"Blodgett, John W., Jr"
"Blodgett, John Wood, 1860-1951"
"Blois, John T"
"Blood, W. J"
"Blouin, Francis X"
"Blow, Susan E. (Susan Elizabeth), 1843-1916"
"Bluestone, Barry"
"Bluestone, Irving"
"Blum, Léon, 1872-1950"
"Boak, Arthur Edward Romilly, 1888-1962"
"Boas, Franz, 1858-1942"
"Bobbio, Joseph"
"Bodenstein, Max, 1871-1942"
"Bodley, J. H"
"Boehm, Ernest R"
"Boggs, Thomas Hale, 1914-"
"Bogle, Thomas Ashford, 1852-1921"
"Bohlen, Charles E. (Charles Eustis), 1904-"
"Bohn, Frank Probasco, 1866-1944"
"Bohn, Theodore R"
"Bohr, David"
"Bohr, David F., 1915-"
"Bohr, Niels, 1885-1962"
"Boise, James Robinson, 1815-1895"
"Bolcom, William"
"Boldyreff, W"
"Bole, Giles G"
"Bolger, Ray"
"Bolling, Richard Walker, 1916-"
"Bollinger, Lee C., 1946-"
"Bolt, Jay A"
"Bolton, Charles Knowles, 1867-1950"
"Bolton, Chester Castle, 1882-1939"
"Bolton, Frances Payne Bingham, 1885-1977"
"Bolton, Herbert Eugene, 1870-1953"
"Bond, Floyd Alden"
"Bonisteel, Roscoe O. (Roscoe Osmond), b. 1888"
"Bonk, Wallace John, 1923-"
"Bonnaud, A., Madame"
"Bonnell, Jay H"
"Bonner, Campbell, b. 1876"
"Bonner, Ethel H"
"Bonstelle, Laura Justine, 1872-1932"
"Booth, Edmund Wood, 1866-1927"
"Booth, Evangeline, 1865-1950"
"Booth, George G. (George Gough), b. 1864"
"Booth, Henry Scripps, 1897-"
"Borah, William Edgar, 1865-1940"
